Team,Yankees,1,0,New York,New York,
Team,Dodgers,2,0,Houston,Texas,
Team,Astros,3,0,Minneapolis,Minnesota,
Team,Mets,4,0,St. Petersburg,Florida,
Team,Braves,5,0,Seattle,Washington,
Team,Rays,6,0,Toronto,Canada,
Team,Padres,7,0,Boston,Massachusetts,
Team,Mariners,8,0,Cleveland,Ohio,
Team,Brewers,9,0,New York,New York,
Team,Blue Jays,10,0,Houston,Texas,
Team,Phillies,11,0,Minneapolis,Minnesota,
Team,Twins,12,0,St. Petersburg,Florida,
Team,Cardinals,13,0,Seattle,Washington,
Team,Giants,14,0,Toronto,Canada,
Team,Red Sox,15,0,Boston,Massachusetts,
Team,Guardians,16,0,Cleveland,Ohio,
Team,Orioles,17,0,New York,New York,
Team,White Sox,18,0,Houston,Texas,
Team,Marlins,19,0,Minneapolis,Minnesota,
Team,Rockies,20,0,St. Petersburg,Florida,
Team,Rangers,21,0,Seattle,Washington,
Team,Diamondbacks,22,0,Toronto,Canada,
Team,Angels,23,0,Boston,Massachusetts,
Team,Pirates,24,0,Cleveland,Ohio,
Team,Tigers,25,0,New York,New York,
Team,Royals,26,0,Houston,Texas,
Team,Cubs,27,0,Minneapolis,Minnesota,
Team,Reds,28,0,St. Petersburg,Florida,
Team,Athletics,29,0,Seattle,Washington,
Team,Nationals,30,0,Toronto,Canada,
Team,BYE,31,0,Boston,Massachusetts,
Team,BYE,32,0,Cleveland,Ohio,
